name,input_shape,output_shape,kernel,stride,padding,groups,M,N,K,macs,weights,bias,ifm_elements,ofm_elements,materialized_im2col_elements,is_dfl
model.22.cv2.2.2,"[1, 64, 13, 13]","[1, 64, 13, 13]","[1, 1]","[1, 1]","[0, 0]",1,64,169,64,692224,4096,64,10816,10816,10816,False
model.22.cv3.0.0.conv,"[1, 64, 52, 52]","[1, 64, 52, 52]","[3, 3]","[1, 1]","[1, 1]",1,64,2704,576,99680256,36864,0,173056,173056,1557504,False
model.22.cv3.0.1.conv,"[1, 64, 52, 52]","[1, 64, 52, 52]","[3, 3]","[1, 1]","[1, 1]",1,64,2704,576,99680256,36864,0,173056,173056,1557504,False
model.22.cv3.0.2,"[1, 64, 52, 52]","[1, 7, 52, 52]","[1, 1]","[1, 1]","[0, 0]",1,7,2704,64,1211392,448,7,173056,18928,173056,False
model.22.cv3.1.0.conv,"[1, 128, 26, 26]","[1, 64, 26, 26]","[3, 3]","[1, 1]","[1, 1]",1,64,676,1152,49840128,73728,0,86528,43264,778752,False
model.22.cv3.1.1.conv,"[1, 64, 26, 26]","[1, 64, 26, 26]","[3, 3]","[1, 1]","[1, 1]",1,64,676,576,24920064,36864,0,43264,43264,389376,False
model.22.cv3.1.2,"[1, 64, 26, 26]","[1, 7, 26, 26]","[1, 1]","[1, 1]","[0, 0]",1,7,676,64,302848,448,7,43264,4732,43264,False
model.22.cv3.2.0.conv,"[1, 256, 13, 13]","[1, 64, 13, 13]","[3, 3]","[1, 1]","[1, 1]",1,64,169,2304,24920064,147456,0,43264,10816,389376,False
model.22.cv3.2.1.conv,"[1, 64, 13, 13]","[1, 64, 13, 13]","[3, 3]","[1, 1]","[1, 1]",1,64,169,576,6230016,36864,0,10816,10816,97344,False
model.22.cv3.2.2,"[1, 64, 13, 13]","[1, 7, 13, 13]","[1, 1]","[1, 1]","[0, 0]",1,7,169,64,75712,448,7,10816,1183,10816,False
model.22.dfl.conv,"[1, 16, 4, 3549]","[1, 1, 4, 3549]","[1, 1]","[1, 1]","[0, 0]",1,1,14196,16,227136,16,0,227136,14196,227136,True
