name,input_shape,output_shape,kernel,stride,padding,groups,M,N,K,macs,weights,bias,ifm_elements,ofm_elements,materialized_im2col_elements,is_dfl
model.4.m.1.cv2.conv,"[1, 32, 40, 40]","[1, 32, 40, 40]","[3, 3]","[1, 1]","[1, 1]",1,32,1600,288,14745600,9216,0,51200,51200,460800,False
model.4.cv2.conv,"[1, 128, 40, 40]","[1, 64, 40, 40]","[1, 1]","[1, 1]","[0, 0]",1,64,1600,128,13107200,8192,0,204800,102400,204800,False
model.5.conv,"[1, 64, 40, 40]","[1, 128, 20, 20]","[3, 3]","[2, 2]","[1, 1]",1,128,400,576,29491200,73728,0,102400,51200,230400,False
model.6.cv1.conv,"[1, 128, 20, 20]","[1, 128, 20, 20]","[1, 1]","[1, 1]","[0, 0]",1,128,400,128,6553600,16384,0,51200,51200,51200,False
model.6.m.0.cv1.conv,"[1, 64, 20, 20]","[1, 64, 20, 20]","[3, 3]","[1, 1]","[1, 1]",1,64,400,576,14745600,36864,0,25600,25600,230400,False
model.6.m.0.cv2.conv,"[1, 64, 20, 20]","[1, 64, 20, 20]","[3, 3]","[1, 1]","[1, 1]",1,64,400,576,14745600,36864,0,25600,25600,230400,False
model.6.m.1.cv1.conv,"[1, 64, 20, 20]","[1, 64, 20, 20]","[3, 3]","[1, 1]","[1, 1]",1,64,400,576,14745600,36864,0,25600,25600,230400,False
model.6.m.1.cv2.conv,"[1, 64, 20, 20]","[1, 64, 20, 20]","[3, 3]","[1, 1]","[1, 1]",1,64,400,576,14745600,36864,0,25600,25600,230400,False
model.6.cv2.conv,"[1, 256, 20, 20]","[1, 128, 20, 20]","[1, 1]","[1, 1]","[0, 0]",1,128,400,256,13107200,32768,0,102400,51200,102400,False
model.7.conv,"[1, 128, 20, 20]","[1, 256, 10, 10]","[3, 3]","[2, 2]","[1, 1]",1,256,100,1152,29491200,294912,0,51200,25600,115200,False
model.8.cv1.conv,"[1, 256, 10, 10]","[1, 256, 10, 10]","[1, 1]","[1, 1]","[0, 0]",1,256,100,256,6553600,65536,0,25600,25600,25600,False
model.8.m.0.cv1.conv,"[1, 128, 10, 10]","[1, 128, 10, 10]","[3, 3]","[1, 1]","[1, 1]",1,128,100,1152,14745600,147456,0,12800,12800,115200,False
model.8.m.0.cv2.conv,"[1, 128, 10, 10]","[1, 128, 10, 10]","[3, 3]","[1, 1]","[1, 1]",1,128,100,1152,14745600,147456,0,12800,12800,115200,False
model.8.cv2.conv,"[1, 384, 10, 10]","[1, 256, 10, 10]","[1, 1]","[1, 1]","[0, 0]",1,256,100,384,9830400,98304,0,38400,25600,38400,False
model.9.cv1.conv,"[1, 256, 10, 10]","[1, 128, 10, 10]","[1, 1]","[1, 1]","[0, 0]",1,128,100,256,3276800,32768,0,25600,12800,25600,False
model.9.cv2.conv,"[1, 512, 10, 10]","[1, 256, 10, 10]","[1, 1]","[1, 1]","[0, 0]",1,256,100,512,13107200,131072,0,51200,25600,51200,False
model.12.cv1.conv,"[1, 384, 20, 20]","[1, 128, 20, 20]","[1, 1]","[1, 1]","[0, 0]",1,128,400,384,19660800,49152,0,153600,51200,153600,False
model.12.m.0.cv1.conv,"[1, 64, 20, 20]","[1, 64, 20, 20]","[3, 3]","[1, 1]","[1, 1]",1,64,400,576,14745600,36864,0,25600,25600,230400,False
model.12.m.0.cv2.conv,"[1, 64, 20, 20]","[1, 64, 20, 20]","[3, 3]","[1, 1]","[1, 1]",1,64,400,576,14745600,36864,0,25600,25600,230400,False
model.12.cv2.conv,"[1, 192, 20, 20]","[1, 128, 20, 20]","[1, 1]","[1, 1]","[0, 0]",1,128,400,192,9830400,24576,0,76800,51200,76800,False
model.15.cv1.conv,"[1, 192, 40, 40]","[1, 64, 40, 40]","[1, 1]","[1, 1]","[0, 0]",1,64,1600,192,19660800,12288,0,307200,102400,307200,False
model.15.m.0.cv1.conv,"[1, 32, 40, 40]","[1, 32, 40, 40]","[3, 3]","[1, 1]","[1, 1]",1,32,1600,288,14745600,9216,0,51200,51200,460800,False
model.15.m.0.cv2.conv,"[1, 32, 40, 40]","[1, 32, 40, 40]","[3, 3]","[1, 1]","[1, 1]",1,32,1600,288,14745600,9216,0,51200,51200,460800,False
model.15.cv2.conv,"[1, 96, 40, 40]","[1, 64, 40, 40]","[1, 1]","[1, 1]","[0, 0]",1,64,1600,96,9830400,6144,0,153600,102400,153600,False
model.16.conv,"[1, 64, 40, 40]","[1, 64, 20, 20]","[3, 3]","[2, 2]","[1, 1]",1,64,400,576,14745600,36864,0,102400,25600,230400,False
model.18.cv1.conv,"[1, 192, 20, 20]","[1, 128, 20, 20]","[1, 1]","[1, 1]","[0, 0]",1,128,400,192,9830400,24576,0,76800,51200,76800,False
model.18.m.0.cv1.conv,"[1, 64, 20, 20]","[1, 64, 20, 20]","[3, 3]","[1, 1]","[1, 1]",1,64,400,576,14745600,36864,0,25600,25600,230400,False
model.18.m.0.cv2.conv,"[1, 64, 20, 20]","[1, 64, 20, 20]","[3, 3]","[1, 1]","[1, 1]",1,64,400,576,14745600,36864,0,25600,25600,230400,False
model.18.cv2.conv,"[1, 192, 20, 20]","[1, 128, 20, 20]","[1, 1]","[1, 1]","[0, 0]",1,128,400,192,9830400,24576,0,76800,51200,76800,False
model.19.conv,"[1, 128, 20, 20]","[1, 128, 10, 10]","[3, 3]","[2, 2]","[1, 1]",1,128,100,1152,14745600,147456,0,51200,12800,115200,False
model.21.cv1.conv,"[1, 384, 10, 10]","[1, 256, 10, 10]","[1, 1]","[1, 1]","[0, 0]",1,256,100,384,9830400,98304,0,38400,25600,38400,False
model.21.m.0.cv1.conv,"[1, 128, 10, 10]","[1, 128, 10, 10]","[3, 3]","[1, 1]","[1, 1]",1,128,100,1152,14745600,147456,0,12800,12800,115200,False
model.21.m.0.cv2.conv,"[1, 128, 10, 10]","[1, 128, 10, 10]","[3, 3]","[1, 1]","[1, 1]",1,128,100,1152,14745600,147456,0,12800,12800,115200,False
model.21.cv2.conv,"[1, 384, 10, 10]","[1, 256, 10, 10]","[1, 1]","[1, 1]","[0, 0]",1,256,100,384,9830400,98304,0,38400,25600,38400,False
model.22.cv2.0.0.conv,"[1, 64, 40, 40]","[1, 64, 40, 40]","[3, 3]","[1, 1]","[1, 1]",1,64,1600,576,58982400,36864,0,102400,102400,921600,False
model.22.cv2.0.1.conv,"[1, 64, 40, 40]","[1, 64, 40, 40]","[3, 3]","[1, 1]","[1, 1]",1,64,1600,576,58982400,36864,0,102400,102400,921600,False
model.22.cv2.0.2,"[1, 64, 40, 40]","[1, 64, 40, 40]","[1, 1]","[1, 1]","[0, 0]",1,64,1600,64,6553600,4096,64,102400,102400,102400,False
model.22.cv2.1.0.conv,"[1, 128, 20, 20]","[1, 64, 20, 20]","[3, 3]","[1, 1]","[1, 1]",1,64,400,1152,29491200,73728,0,51200,25600,460800,False
model.22.cv2.1.1.conv,"[1, 64, 20, 20]","[1, 64, 20, 20]","[3, 3]","[1, 1]","[1, 1]",1,64,400,576,14745600,36864,0,25600,25600,230400,False
model.22.cv2.1.2,"[1, 64, 20, 20]","[1, 64, 20, 20]","[1, 1]","[1, 1]","[0, 0]",1,64,400,64,1638400,4096,64,25600,25600,25600,False
model.22.cv2.2.0.conv,"[1, 256, 10, 10]","[1, 64, 10, 10]","[3, 3]","[1, 1]","[1, 1]",1,64,100,2304,14745600,147456,0,25600,6400,230400,False
model.22.cv2.2.1.conv,"[1, 64, 10, 10]","[1, 64, 10, 10]","[3, 3]","[1, 1]","[1, 1]",1,64,100,576,3686400,36864,0,6400,6400,57600,False
model.22.cv2.2.2,"[1, 64, 10, 10]","[1, 64, 10, 10]","[1, 1]","[1, 1]","[0, 0]",1,64,100,64,409600,4096,64,6400,6400,6400,False
model.22.cv3.0.0.conv,"[1, 64, 40, 40]","[1, 64, 40, 40]","[3, 3]","[1, 1]","[1, 1]",1,64,1600,576,58982400,36864,0,102400,102400,921600,False
model.22.cv3.0.1.conv,"[1, 64, 40, 40]","[1, 64, 40, 40]","[3, 3]","[1, 1]","[1, 1]",1,64,1600,576,58982400,36864,0,102400,102400,921600,False
model.22.cv3.0.2,"[1, 64, 40, 40]","[1, 7, 40, 40]","[1, 1]","[1, 1]","[0, 0]",1,7,1600,64,716800,448,7,102400,11200,102400,False
model.22.cv3.1.0.conv,"[1, 128, 20, 20]","[1, 64, 20, 20]","[3, 3]","[1, 1]","[1, 1]",1,64,400,1152,29491200,73728,0,51200,25600,460800,False
model.22.cv3.1.1.conv,"[1, 64, 20, 20]","[1, 64, 20, 20]","[3, 3]","[1, 1]","[1, 1]",1,64,400,576,14745600,36864,0,25600,25600,230400,False
model.22.cv3.1.2,"[1, 64, 20, 20]","[1, 7, 20, 20]","[1, 1]","[1, 1]","[0, 0]",1,7,400,64,179200,448,7,25600,2800,25600,False
model.22.cv3.2.0.conv,"[1, 256, 10, 10]","[1, 64, 10, 10]","[3, 3]","[1, 1]","[1, 1]",1,64,100,2304,14745600,147456,0,25600,6400,230400,False
model.22.cv3.2.1.conv,"[1, 64, 10, 10]","[1, 64, 10, 10]","[3, 3]","[1, 1]","[1, 1]",1,64,100,576,3686400,36864,0,6400,6400,57600,False
model.22.cv3.2.2,"[1, 64, 10, 10]","[1, 7, 10, 10]","[1, 1]","[1, 1]","[0, 0]",1,7,100,64,44800,448,7,6400,700,6400,False
model.22.dfl.conv,"[1, 16, 4, 2100]","[1, 1, 4, 2100]","[1, 1]","[1, 1]","[0, 0]",1,1,8400,16,134400,16,0,134400,8400,134400,True
