name,input_shape,output_shape,kernel,stride,padding,groups,M,N,K,macs,weights,bias,ifm_elements,ofm_elements,materialized_im2col_elements,is_dfl
model.5.conv,"[1, 64, 32, 32]","[1, 128, 16, 16]","[3, 3]","[2, 2]","[1, 1]",1,128,256,576,18874368,73728,0,65536,32768,147456,False
model.6.cv1.conv,"[1, 128, 16, 16]","[1, 128, 16, 16]","[1, 1]","[1, 1]","[0, 0]",1,128,256,128,4194304,16384,0,32768,32768,32768,False
model.6.m.0.cv1.conv,"[1, 64, 16, 16]","[1, 64, 16, 16]","[3, 3]","[1, 1]","[1, 1]",1,64,256,576,9437184,36864,0,16384,16384,147456,False
model.6.m.0.cv2.conv,"[1, 64, 16, 16]","[1, 64, 16, 16]","[3, 3]","[1, 1]","[1, 1]",1,64,256,576,9437184,36864,0,16384,16384,147456,False
model.6.m.1.cv1.conv,"[1, 64, 16, 16]","[1, 64, 16, 16]","[3, 3]","[1, 1]","[1, 1]",1,64,256,576,9437184,36864,0,16384,16384,147456,False
model.6.m.1.cv2.conv,"[1, 64, 16, 16]","[1, 64, 16, 16]","[3, 3]","[1, 1]","[1, 1]",1,64,256,576,9437184,36864,0,16384,16384,147456,False
model.6.cv2.conv,"[1, 256, 16, 16]","[1, 128, 16, 16]","[1, 1]","[1, 1]","[0, 0]",1,128,256,256,8388608,32768,0,65536,32768,65536,False
model.7.conv,"[1, 128, 16, 16]","[1, 256, 8, 8]","[3, 3]","[2, 2]","[1, 1]",1,256,64,1152,18874368,294912,0,32768,16384,73728,False
model.8.cv1.conv,"[1, 256, 8, 8]","[1, 256, 8, 8]","[1, 1]","[1, 1]","[0, 0]",1,256,64,256,4194304,65536,0,16384,16384,16384,False
model.8.m.0.cv1.conv,"[1, 128, 8, 8]","[1, 128, 8, 8]","[3, 3]","[1, 1]","[1, 1]",1,128,64,1152,9437184,147456,0,8192,8192,73728,False
model.8.m.0.cv2.conv,"[1, 128, 8, 8]","[1, 128, 8, 8]","[3, 3]","[1, 1]","[1, 1]",1,128,64,1152,9437184,147456,0,8192,8192,73728,False
model.8.cv2.conv,"[1, 384, 8, 8]","[1, 256, 8, 8]","[1, 1]","[1, 1]","[0, 0]",1,256,64,384,6291456,98304,0,24576,16384,24576,False
model.9.cv1.conv,"[1, 256, 8, 8]","[1, 128, 8, 8]","[1, 1]","[1, 1]","[0, 0]",1,128,64,256,2097152,32768,0,16384,8192,16384,False
model.9.cv2.conv,"[1, 512, 8, 8]","[1, 256, 8, 8]","[1, 1]","[1, 1]","[0, 0]",1,256,64,512,8388608,131072,0,32768,16384,32768,False
model.12.cv1.conv,"[1, 384, 16, 16]","[1, 128, 16, 16]","[1, 1]","[1, 1]","[0, 0]",1,128,256,384,12582912,49152,0,98304,32768,98304,False
model.12.m.0.cv1.conv,"[1, 64, 16, 16]","[1, 64, 16, 16]","[3, 3]","[1, 1]","[1, 1]",1,64,256,576,9437184,36864,0,16384,16384,147456,False
model.12.m.0.cv2.conv,"[1, 64, 16, 16]","[1, 64, 16, 16]","[3, 3]","[1, 1]","[1, 1]",1,64,256,576,9437184,36864,0,16384,16384,147456,False
model.12.cv2.conv,"[1, 192, 16, 16]","[1, 128, 16, 16]","[1, 1]","[1, 1]","[0, 0]",1,128,256,192,6291456,24576,0,49152,32768,49152,False
model.15.cv1.conv,"[1, 192, 32, 32]","[1, 64, 32, 32]","[1, 1]","[1, 1]","[0, 0]",1,64,1024,192,12582912,12288,0,196608,65536,196608,False
model.15.m.0.cv1.conv,"[1, 32, 32, 32]","[1, 32, 32, 32]","[3, 3]","[1, 1]","[1, 1]",1,32,1024,288,9437184,9216,0,32768,32768,294912,False
model.15.m.0.cv2.conv,"[1, 32, 32, 32]","[1, 32, 32, 32]","[3, 3]","[1, 1]","[1, 1]",1,32,1024,288,9437184,9216,0,32768,32768,294912,False
model.15.cv2.conv,"[1, 96, 32, 32]","[1, 64, 32, 32]","[1, 1]","[1, 1]","[0, 0]",1,64,1024,96,6291456,6144,0,98304,65536,98304,False
model.16.conv,"[1, 64, 32, 32]","[1, 64, 16, 16]","[3, 3]","[2, 2]","[1, 1]",1,64,256,576,9437184,36864,0,65536,16384,147456,False
model.18.cv1.conv,"[1, 192, 16, 16]","[1, 128, 16, 16]","[1, 1]","[1, 1]","[0, 0]",1,128,256,192,6291456,24576,0,49152,32768,49152,False
model.18.m.0.cv1.conv,"[1, 64, 16, 16]","[1, 64, 16, 16]","[3, 3]","[1, 1]","[1, 1]",1,64,256,576,9437184,36864,0,16384,16384,147456,False
model.18.m.0.cv2.conv,"[1, 64, 16, 16]","[1, 64, 16, 16]","[3, 3]","[1, 1]","[1, 1]",1,64,256,576,9437184,36864,0,16384,16384,147456,False
model.18.cv2.conv,"[1, 192, 16, 16]","[1, 128, 16, 16]","[1, 1]","[1, 1]","[0, 0]",1,128,256,192,6291456,24576,0,49152,32768,49152,False
model.19.conv,"[1, 128, 16, 16]","[1, 128, 8, 8]","[3, 3]","[2, 2]","[1, 1]",1,128,64,1152,9437184,147456,0,32768,8192,73728,False
model.21.cv1.conv,"[1, 384, 8, 8]","[1, 256, 8, 8]","[1, 1]","[1, 1]","[0, 0]",1,256,64,384,6291456,98304,0,24576,16384,24576,False
model.21.m.0.cv1.conv,"[1, 128, 8, 8]","[1, 128, 8, 8]","[3, 3]","[1, 1]","[1, 1]",1,128,64,1152,9437184,147456,0,8192,8192,73728,False
model.21.m.0.cv2.conv,"[1, 128, 8, 8]","[1, 128, 8, 8]","[3, 3]","[1, 1]","[1, 1]",1,128,64,1152,9437184,147456,0,8192,8192,73728,False
model.21.cv2.conv,"[1, 384, 8, 8]","[1, 256, 8, 8]","[1, 1]","[1, 1]","[0, 0]",1,256,64,384,6291456,98304,0,24576,16384,24576,False
model.22.cv2.0.0.conv,"[1, 64, 32, 32]","[1, 64, 32, 32]","[3, 3]","[1, 1]","[1, 1]",1,64,1024,576,37748736,36864,0,65536,65536,589824,False
model.22.cv2.0.1.conv,"[1, 64, 32, 32]","[1, 64, 32, 32]","[3, 3]","[1, 1]","[1, 1]",1,64,1024,576,37748736,36864,0,65536,65536,589824,False
model.22.cv2.0.2,"[1, 64, 32, 32]","[1, 64, 32, 32]","[1, 1]","[1, 1]","[0, 0]",1,64,1024,64,4194304,4096,64,65536,65536,65536,False
model.22.cv2.1.0.conv,"[1, 128, 16, 16]","[1, 64, 16, 16]","[3, 3]","[1, 1]","[1, 1]",1,64,256,1152,18874368,73728,0,32768,16384,294912,False
model.22.cv2.1.1.conv,"[1, 64, 16, 16]","[1, 64, 16, 16]","[3, 3]","[1, 1]","[1, 1]",1,64,256,576,9437184,36864,0,16384,16384,147456,False
model.22.cv2.1.2,"[1, 64, 16, 16]","[1, 64, 16, 16]","[1, 1]","[1, 1]","[0, 0]",1,64,256,64,1048576,4096,64,16384,16384,16384,False
model.22.cv2.2.0.conv,"[1, 256, 8, 8]","[1, 64, 8, 8]","[3, 3]","[1, 1]","[1, 1]",1,64,64,2304,9437184,147456,0,16384,4096,147456,False
model.22.cv2.2.1.conv,"[1, 64, 8, 8]","[1, 64, 8, 8]","[3, 3]","[1, 1]","[1, 1]",1,64,64,576,2359296,36864,0,4096,4096,36864,False
model.22.cv2.2.2,"[1, 64, 8, 8]","[1, 64, 8, 8]","[1, 1]","[1, 1]","[0, 0]",1,64,64,64,262144,4096,64,4096,4096,4096,False
model.22.cv3.0.0.conv,"[1, 64, 32, 32]","[1, 64, 32, 32]","[3, 3]","[1, 1]","[1, 1]",1,64,1024,576,37748736,36864,0,65536,65536,589824,False
model.22.cv3.0.1.conv,"[1, 64, 32, 32]","[1, 64, 32, 32]","[3, 3]","[1, 1]","[1, 1]",1,64,1024,576,37748736,36864,0,65536,65536,589824,False
model.22.cv3.0.2,"[1, 64, 32, 32]","[1, 7, 32, 32]","[1, 1]","[1, 1]","[0, 0]",1,7,1024,64,458752,448,7,65536,7168,65536,False
model.22.cv3.1.0.conv,"[1, 128, 16, 16]","[1, 64, 16, 16]","[3, 3]","[1, 1]","[1, 1]",1,64,256,1152,18874368,73728,0,32768,16384,294912,False
model.22.cv3.1.1.conv,"[1, 64, 16, 16]","[1, 64, 16, 16]","[3, 3]","[1, 1]","[1, 1]",1,64,256,576,9437184,36864,0,16384,16384,147456,False
model.22.cv3.1.2,"[1, 64, 16, 16]","[1, 7, 16, 16]","[1, 1]","[1, 1]","[0, 0]",1,7,256,64,114688,448,7,16384,1792,16384,False
model.22.cv3.2.0.conv,"[1, 256, 8, 8]","[1, 64, 8, 8]","[3, 3]","[1, 1]","[1, 1]",1,64,64,2304,9437184,147456,0,16384,4096,147456,False
model.22.cv3.2.1.conv,"[1, 64, 8, 8]","[1, 64, 8, 8]","[3, 3]","[1, 1]","[1, 1]",1,64,64,576,2359296,36864,0,4096,4096,36864,False
model.22.cv3.2.2,"[1, 64, 8, 8]","[1, 7, 8, 8]","[1, 1]","[1, 1]","[0, 0]",1,7,64,64,28672,448,7,4096,448,4096,False
model.22.dfl.conv,"[1, 16, 4, 1344]","[1, 1, 4, 1344]","[1, 1]","[1, 1]","[0, 0]",1,1,5376,16,86016,16,0,86016,5376,86016,True
